Time,Altitude,Temp,Voltage,3 pt avg altitude,3 pt sym time deriv,7 pt avg altitude,7 pt sym time deriv
0,2,82.1F,8,,,,
0.05,3,82.1F,8,2.33333333333333,,,
0.1,2,82.1F,8,2,-10,,
0.15,1,82.1F,8,1.33333333333333,-13.3333333333333,1.42857142857143,
0.2,1,82.1F,8,0.666666666666667,-6.66666666666667,1.42857142857143,-2.85714285714286
0.25,0,82.1F,8,0.666666666666667,3.33333333333333,1.14285714285714,-4.28571428571429
0.3,1,82.1F,8,1,6.66666666666667,1,0
0.35,2,82.1F,8,1.33333333333333,3.33333333333333,1.14285714285714,4.28571428571428
0.4,1,82.1F,8,1.33333333333333,0,1.42857142857143,5.71428571428571
0.45,1,82.1F,8,1.33333333333333,6.66666666666667,1.71428571428571,2.85714285714286
0.5,2,82.1F,8,2,10,1.71428571428571,0
0.55,3,82.1F,8,2.33333333333333,0,1.71428571428571,1.42857142857143
0.6,2,82.1F,8,2,-6.66666666666667,1.85714285714286,1.42857142857143
0.65,1,82.1F,8,1.66666666666667,-3.33333333333333,1.85714285714286,22.8571428571429
0.7,2,82.1F,8,1.66666666666667,0,4.14285714285714,65.7142857142857
0.75,2,82.1F,8,1.66666666666667,53.3333333333333,8.42857142857143,91.4285714285713
0.8,1,82.1F,7.7,7,156.666666666667,13.2857142857143,115.714285714286
0.85,18,82.1F,7.8,17.3333333333333,220,20,148.571428571429
0.9,33,82.1F,7.8,29,216.666666666667,28.1428571428571,177.142857142857
0.95,36,82.1F,7.8,39,186.666666666667,37.7142857142857,210
1,48,82.1F,7.8,47.6666666666667,196.666666666666,49.1428571428571,225.714285714285
1.05,59,82.1F,7.7,58.6666666666667,220,60.2857142857143,224.285714285714
1.1,69,82.1F,7.8,69.6666666666667,233.333333333334,71.5714285714286,245.714285714286
1.15,81,82.1F,7.8,82,266.666666666667,84.8571428571429,272.857142857143
1.2,96,82.1F,7.8,96.3333333333333,303.333333333333,98.8571428571429,294.285714285714
1.25,112,82.1F,7.8,112.333333333333,326.666666666666,114.285714285714,322.857142857142
1.3,129,82.1F,7.8,129,350,131.142857142857,355.714285714285
1.35,146,82.1F,7.8,147.333333333333,376.666666666667,149.857142857143,387.142857142858
1.4,167,82.1F,7.8,166.666666666667,413.333333333334,169.857142857143,418.571428571429
1.45,187,82.1F,7.8,188.666666666667,450,191.714285714286,445.714285714285
1.5,212,82.1F,7.8,211.666666666667,490,214.428571428571,471.428571428571
1.55,236,82.1F,7.8,237.666666666667,513.333333333333,238.857142857143,497.142857142857
1.6,265,82.1F,7.8,263,523.333333333334,264.142857142857,520
1.65,288,82.1F,7.8,290,533.333333333334,290.857142857143,538.571428571429
1.7,317,82.1F,7.8,316.333333333333,550,318,558.571428571428
1.75,344,82.1F,7.8,345,570,346.714285714286,581.428571428571
1.8,374,82.1F,7.8,373.333333333333,593.333333333333,376.142857142857,602.857142857142
1.85,402,82.2F,7.8,404.333333333333,633.333333333335,407,627.142857142857
1.9,437,82.1F,7.8,436.666666666667,663.333333333335,438.857142857143,647.142857142858
1.95,471,82.1F,7.8,470.666666666667,683.333333333333,471.714285714286,671.428571428571
2,504,82.2F,7.8,505,686.666666666668,506,701.428571428573
2.05,540,82.1F,7.8,539.333333333333,709.999999999999,541.857142857143,724.285714285714
2.1,574,82.1F,7.8,576,743.333333333332,578.428571428571,735.714285714285
2.15,614,82.1F,7.8,613.666666666667,773.333333333333,615.428571428571,748.571428571428
2.2,653,82.1F,7.8,653.333333333333,783.333333333333,653.285714285714,762.857142857142
2.25,693,82.2F,7.8,692,773.333333333335,691.714285714286,784.285714285716
2.3,730,82.1F,7.8,730.666666666667,773.333333333333,731.714285714286,809.999999999999
2.35,769,82.1F,7.8,769.333333333333,799.999999999999,772.714285714286,828.571428571428
2.4,809,82.2F,7.8,810.666666666667,853.333333333332,814.571428571429,842.857142857143
2.45,854,82.1F,7.8,854.666666666667,896.666666666667,857,859.999999999999
2.5,901,82.1F,7.8,900.333333333333,910.000000000003,900.571428571429,882.857142857147
2.55,946,82.1F,7.8,945.666666666667,899.999999999999,945.285714285714,897.142857142857
2.6,990,82.1F,7.8,990.333333333333,900,990.285714285714,905.714285714285
2.65,1035,82.1F,7.8,1035.66666666667,899.999999999998,1035.85714285714,915.714285714285
2.7,1082,82.1F,7.8,1080.33333333333,906.666666666664,1081.85714285714,929.999999999999
2.75,1124,82.2F,7.8,1126.33333333333,930.000000000003,1128.85714285714,951.428571428575
2.8,1173,82.1F,7.8,1173.33333333333,973.333333333334,1177,977.142857142857
2.85,1223,82.2F,7.8,1223.66666666667,1016.66666666667,1226.57142857143,1004.28571428571
2.9,1275,82.2F,7.8,1275,1043.33333333333,1277.42857142857,1037.14285714285
2.95,1327,82.1F,7.8,1328,1073.33333333333,1330.28571428571,1065.71428571429
3,1382,82.2F,7.8,1382.33333333333,1100,1384,1088.57142857143
3.05,1438,82.2F,7.8,1438,1113.33333333333,1439.14285714286,1111.42857142857
3.1,1494,82.2F,7.8,1493.66666666667,1126.66666666667,1495.14285714286,1132.85714285714
3.15,1549,82.2F,7.8,1550.66666666667,1146.66666666666,1552.42857142857,1154.28571428571
3.2,1609,82.2F,7.8,1608.33333333333,1173.33333333333,1610.57142857143,1170
3.25,1667,82.2F,7.8,1668,1196.66666666667,1669.42857142857,1190
3.3,1728,82.2F,7.8,1728,1210,1729.57142857143,1211.42857142857
3.35,1789,82.1F,7.8,1789,1233.33333333333,1790.57142857143,1228.57142857143
3.4,1850,82.1F,7.8,1851.33333333333,1246.66666666667,1852.42857142857,1247.14285714285
3.45,1915,82.1F,7.8,1913.66666666667,1263.33333333333,1915.28571428571,1265.71428571429
3.5,1976,82.2F,7.8,1977.66666666667,1280,1979,1285.71428571429
3.55,2042,82.1F,7.8,2041.66666666667,1300,2043.85714285714,1311.42857142857
3.6,2107,82.1F,7.8,2107.66666666667,1330,2110.14285714286,1338.57142857143
3.65,2174,82.2F,7.8,2174.66666666667,1360,2177.71428571429,1365.71428571428
3.7,2243,82.2F,7.8,2243.66666666667,1403.33333333333,2246.71428571429,1388.57142857143
3.75,2314,82.2F,7.8,2315,1433.33333333334,2316.57142857143,1411.42857142857
3.8,2388,82.1F,7.8,2387,1443.33333333333,2387.85714285714,1432.85714285714
3.85,2459,82.2F,7.8,2459.33333333333,1450,2459.85714285714,1464.28571428571
3.9,2531,82.2F,7.8,2532,1456.66666666666,2534.28571428571,1520
3.95,2606,82.2F,7.8,2605,1506.66666666666,2611.85714285714,1607.14285714286
4,2678,82.2F,7.8,2682.66666666667,1613.33333333334,2695,1741.42857142858
4.05,2764,82.2F,7.8,2766.33333333333,1810.00000000001,2786,1894.28571428572
4.1,2857,82.2F,7.8,2863.66666666667,2079.99999999999,2884.42857142857,2037.14285714285
4.15,2970,82.1F,7.8,2974.33333333333,2316.66666666666,2989.71428571429,2179.99999999999
4.2,3096,82.2F,7.8,3095.33333333333,2453.33333333334,3102.42857142857,2302.85714285715
4.25,3220,82.2F,7.8,3219.66666666667,2480.00000000001,3220,2378.57142857144
4.3,3343,82.2F,7.8,3343.33333333333,2460.00000000001,3340.28571428571,2384.28571428572
4.35,3467,82.2F,7.8,3465.66666666667,2409.99999999999,3458.42857142857,2304.2857142857
4.4,3587,82.2F,7.8,3584.33333333333,2286.66666666666,3570.71428571429,2182.85714285713
4.45,3699,82.2F,7.7,3694.33333333333,2083.33333333334,3676.71428571429,2030.00000000001
4.5,3797,82.2F,7.8,3792.66666666667,1860.00000000001,3773.71428571429,1774.28571428572
4.55,3882,82.2F,7.8,3880.33333333333,1626.66666666668,3854.14285714286,1440.00000000001
4.6,3962,82.2F,7.7,3955.33333333333,1243.33333333332,3917.71428571429,1168.57142857142
4.65,4022,82.2F,7.8,4004.66666666667,726.666666666661,3971,1038.57142857142
4.7,4030,82.2F,7.8,4028,400.000000000001,4021.57142857143,1032.85714285715
4.75,4032,82.2F,7.8,4044.66666666667,570.000000000002,4074.28571428571,1087.14285714287
4.8,4072,82.2F,7.8,4085,1133.33333333334,4130.28571428571,1194.28571428572
4.85,4151,82.2F,7.8,4158,1669.99999999999,4193.71428571429,1411.42857142856
4.9,4251,82.2F,7.8,4252,1989.99999999999,4271.42857142857,1615.71428571428
4.95,4354,82.2F,7.8,4357,2126.66666666668,4355.28571428571,1620.00000000001
5,4466,82.2F,7.8,4464.66666666667,1960.00000000001,4433.42857142857,1435.71428571429
